"","landCoverCode","year","sqKm","landCoverCategory","landCoverNameSp","landCoverName"
"74",39,2002,280.730503852603,"Cultivated","Arroz","Rice"
"75",40,2002,618.289934422678,"Cultivated","Pasto","Pasture"
"76",51,2002,31.7553724846076,"Cultivated","Palma Africana","African palm"
"77",52,2002,231.235159692154,"Cultivated","Palma de Coco","Coco Palm"
"78",53,2002,2367.84213788181,"Cultivated","Café y Cacao","Coffee and Cacao"
"79",59,2002,4046.77512061194,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture"
"80",65,2002,17.4886823448883,"Unvegetated","Lagunos o lagos","Lake"
"81",72,2002,12.7373906730328,"Unvegetated","Areas pobladas","Populated areas"
"82",1,2003,1647.27310359339,"Forest","Bosque conifero denso","Dense conifer forest"
"83",2,2003,633.086380942686,"Forest","Bosque conifero abierto","Open conifer forest"
"84",4,2003,946.7484840084,"Forest","Bosque latifoliado nublado","Wet broadleaf forest"
"85",6,2003,2543.38760985497,"Forest","Bosque latifoliado humedo","Moist broadleaf forest"
"86",8,2003,1506.92873238291,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest"
"87",9,2003,2145.0294577313,"Forest","Bosque seco","Dry forest"
"88",12,2003,10.0455293027881,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands"
"89",13,2003,112.419024937922,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands"
"90",14,2003,34.5174286907074,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands"
"91",16,2003,1711.2708991002,"Shrubland","Matorral latifoliado","Broadleaf matorral"
"92",20,2003,973.841045844644,"Shrubland","Matorral seco","Dry matorral"
"93",21,2003,9.40101446165613,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral"
"94",24,2003,3.18567890856177,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands"
"95",26,2003,4.57283136327649,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh"
"96",27,2003,27.4579664701034,"Grassland","Sabana de pajon","Sabana de pajon"
"97",33,2003,5.61289086791577,"Wetland","Eneal","Cattail marsh"
"98",35,2003,100.73071369083,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas"
"99",37,2003,743.727296105434,"Cultivated","Cultivos intensivos","Cultivated land"
"100",38,2003,484.530479696645,"Cultivated","Caña","Sugar cane"
"101",39,2003,278.985286517736,"Cultivated","Arroz","Rice"
"102",40,2003,612.336814597659,"Cultivated","Pasto","Pasture"
"103",51,2003,31.427827945412,"Cultivated","Palma Africana","African palm"
"104",52,2003,230.089949978066,"Cultivated","Palma de Coco","Coco Palm"
"105",53,2003,2358.26205949435,"Cultivated","Café y Cacao","Coffee and Cacao"
"106",59,2003,4025.2118709781,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture"
"107",65,2003,17.3828218483248,"Unvegetated","Lagunos o lagos","Lake"
"108",72,2003,12.6317647086652,"Unvegetated","Areas pobladas","Populated areas"
"109",1,2004,1635.46985388754,"Forest","Bosque conifero denso","Dense conifer forest"
"110",2,2004,628.97993894548,"Forest","Bosque conifero abierto","Open conifer forest"
"111",4,2004,943.108598388368,"Forest","Bosque latifoliado nublado","Wet broadleaf forest"
"112",6,2004,2527.83556450539,"Forest","Bosque latifoliado humedo","Moist broadleaf forest"
"113",8,2004,1493.29976686034,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest"
"114",9,2004,2127.06604939753,"Forest","Bosque seco","Dry forest"
"115",12,2004,10.0057039920691,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands"
"116",13,2004,112.256032740818,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands"
"117",14,2004,34.4407416040308,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands"
"118",16,2004,1696.47670386717,"Shrubland","Matorral latifoliado","Broadleaf matorral"
"119",20,2004,966.154810782353,"Shrubland","Matorral seco","Dry matorral"
"120",21,2004,9.36416971027979,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral"
"121",24,2004,3.18507558575842,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands"
"122",26,2004,4.54398111034924,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh"
"123",27,2004,27.2834900179526,"Grassland","Sabana de pajon","Sabana de pajon"
"124",33,2004,5.59221931886853,"Wetland","Eneal","Cattail marsh"
"125",35,2004,100.163336031629,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas"
"126",37,2004,735.170878330297,"Cultivated","Cultivos intensivos","Cultivated land"
"127",38,2004,480.586888414864,"Cultivated","Caña","Sugar cane"
"128",39,2004,274.120096806083,"Cultivated","Arroz","Rice"
"129",40,2004,606.480088254671,"Cultivated","Pasto","Pasture"
"130",51,2004,30.4606768177155,"Cultivated","Palma Africana","African palm"
"131",52,2004,227.932893125311,"Cultivated","Palma de Coco","Coco Palm"
"132",53,2004,2343.62303014239,"Cultivated","Café y Cacao","Coffee and Cacao"
"133",59,2004,3987.53388589233,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture"
"134",65,2004,17.3312161074401,"Unvegetated","Lagunos o lagos","Lake"
"135",72,2004,12.5027800279181,"Unvegetated","Areas pobladas","Populated areas"
"136",1,2005,1579.38092916376,"Forest","Bosque conifero denso","Dense conifer forest"
"137",2,2005,613.39234737207,"Forest","Bosque conifero abierto","Open conifer forest"
"138",4,2005,934.564231316265,"Forest","Bosque latifoliado nublado","Wet broadleaf forest"
"139",6,2005,2509.30510753144,"Forest","Bosque latifoliado humedo","Moist broadleaf forest"
"140",8,2005,1479.61395915872,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest"
"141",9,2005,2114.68015671856,"Forest","Bosque seco","Dry forest"
"142",12,2005,9.92717899858948,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands"
"143",13,2005,112.11406965799,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands"
"144",14,2005,34.408962728277,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands"
"145",16,2005,1677.07958179845,"Shrubland","Matorral latifoliado","Broadleaf matorral"
"146",20,2005,960.777959109845,"Shrubland","Matorral seco","Dry matorral"
"147",21,2005,9.34521841607751,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral"
"148",24,2005,3.18260951673132,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands"
"149",26,2005,4.52695710888562,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh"
