landCoverCode,forestArea2000
1,1660.076051
2,638.6725546
4,951.7577458
6,2566.573204
8,1526.990829
9,2173.116735
12,10.29002945
13,112.5455193
14,34.62273101
16,1738.403775
20,984.9902009
21,9.450949901
24,3.186702839
26,4.606512648
27,27.81166025
33,5.642131393
35,102.0745499
37,756.7591098
38,496.1434722
39,286.3125962
40,626.1544704
51,33.87367368
52,232.5602946
53,2382.538849
59,4091.523104
65,17.54724807
72,12.93108675
