"","landCoverCode","sqKmBurned","year"
"206","35",0.00254059252929687,2008
"207","37",0.0288050575561523,2008
"208","38",0.0212180331420898,2008
"209","39",0,2008
"210","40",0,2008
"211","51",0,2008
"212","52",0,2008
"213","53",0.00931406506347656,2008
"214","59",0.494294078918457,2008
"215","65",0,2008
"216","72",0,2008
"217","1",0.000845804748535156,2009
"218","2",0.03657315625,2009
"219","4",0.000845808776855469,2009
"220","6",0.00850029705810547,2009
"221","8",0.0118682026367187,2009
"222","9",0.162172851745605,2009
"223","12",0,2009
"224","13",0,2009
"225","14",0,2009
"226","16",0.00339373364257813,2009
"227","20",0.00848265539550781,2009
"228","21",0,2009
"229","24",0,2009
"230","26",0,2009
"231","27",0,2009
"232","33",0,2009
"233","35",0,2009
"234","37",0.0373547090454102,2009
"235","38",0.0297051697387695,2009
"236","39",0.0177591680297852,2009
"237","40",0.00339570251464844,2009
"238","51",0,2009
"239","52",0,2009
"240","53",0,2009
"241","59",0.047462107421875,2009
"242","65",0,2009
"243","72",0,2009
"244","1",0.118144562509813,2010
"245","2",0.378300330995089,2010
"246","4",0.339617518639419,2010
"247","6",0.0602123727416992,2010
"248","8",0.112637541992187,2010
"249","9",0.00508525628662109,2010
"250","12",0,2010
"251","13",0,2010
"252","14",0,2010
"253","16",0.073467173883655,2010
"254","20",0.0160472968139648,2010
"255","21",0,2010
"256","24",0,2010
"257","26",0,2010
"258","27",0.00931816204833984,2010
"259","33",0,2010
"260","35",0.000847688598632812,2010
"261","37",0.000847133422851562,2010
"262","38",0.108575304443359,2010
"263","39",0,2010
"264","40",0.00254571270751953,2010
"265","51",0,2010
"266","52",0,2010
"267","53",0.0211696016235352,2010
"268","59",0.329379723561485,2010
"269","65",0,2010
"270","72",0,2010
"271","1",0.0710934974365234,2011
"272","2",0.0694136832275391,2011
"273","4",0.0287806103515625,2011
"274","6",0.0747214541625977,2011
"275","8",0.0365282834472656,2011
"276","9",0.0500205364379883,2011
"277","12",0,2011
"278","13",0,2011
"279","14",0,2011
"280","16",0.0805833385620117,2011
"281","20",0.0160835681152344,2011
"282","21",0,2011
"283","24",0,2011
"284","26",0,2011
"285","27",0.000847601379394531,2011
"286","33",0,2011
"287","35",0.00338367810058594,2011
"288","37",0.0067884814453125,2011
"289","38",0.128155308898926,2011
"290","39",0.00758634954833984,2011
"291","40",0.0373548897094727,2011
"292","51",0,2011
"293","52",0,2011
"294","53",0.00761622052001953,2011
"295","59",0.162801778985955,2011
"296","65",0,2011
"297","72",0,2011
"298","1",0.0482601828613281,2012
"299","2",0.0313346002807617,2012
"300","4",0.21167630267334,2012
"301","6",0.011026546081543,2012
"302","8",0.0152331813964844,2012
"303","9",0.0475115703735352,2012
"304","12",0,2012
"305","13",0,2012
"306","14",0,2012
"307","16",0.0270989489746094,2012
"308","20",0.00169347314453125,2012
"309","21",0,2012
"310","24",0,2012
"311","26",0,2012
"312","27",0,2012
"313","33",0,2012
"314","35",0,2012
"315","37",0.000848573608398437,2012
"316","38",0.0144294401855469,2012
"317","39",0,2012
"318","40",0.000849043579101562,2012
"319","51",0,2012
"320","52",0,2012
"321","53",0.00593095733642578,2012
"322","59",0.0592554072265625,2012
"323","65",0,2012
"324","72",0,2012
"325","1",0.0663419407348633,2013
"326","2",5.64300099261474,2013
"327","4",0.238170924072266,2013
"328","6",0.238189725524902,2013
"329","8",0.0748490556030273,2013
"330","9",1.17978727514649,2013
"331","12",0,2013
"332","13",0,2013
"333","14",0,2013
"334","16",0.00169827838134766,2013
"335","20",1.73815188787842,2013
"336","21",0,2013
"337","24",0,2013
"338","26",0,2013
"339","27",0.0135931448364258,2013
"340","33",0,2013
"341","35",0.281908198913574,2013
"342","37",1.73863096612549,2013
"343","38",0.0381767702636719,2013
"344","39",0,2013
"345","40",0.00679152935791016,2013
"346","51",0,2013
"347","52",0,2013
"348","53",0.00254603338623047,2013
"349","59",0.440087048889161,2013
"350","65",0,2013
"351","72",0,2013
"352","1",7.52539567388978,2014
"353","2",1.70778337134795,2014
"354","4",0.139874845275879,2014
"355","6",0.00935361956787109,2014
"356","8",0.0076571923828125,2014
"357","9",0.0016930029296875,2014
"358","12",0,2014
"359","13",0,2014
"360","14",0,2014
"361","16",0.0144240727539063,2014
"362","20",0,2014
"363","21",0,2014
"364","24",0,2014
"365","26",0,2014
"366","27",0.66594773724437,2014
"367","33",0,2014
"368","35",0.00932652044677734,2014
"369","37",0.105968865356445,2014
"370","38",0.0754694334716797,2014
"371","39",0.0016909130859375,2014
"372","40",0.0127187398681641,2014
"373","51",0,2014
"374","52",0,2014
"375","53",0.000847054992675781,2014
"376","59",0.0344606763916016,2014
"377","65",0.00169726104736328,2014
"378","72",0,2014
"379","1",2.68643550777612,2015
"380","2",2.81074735082194,2015
"381","4",1.68857223960128,2015
"382","6",2.0725262318874,2015
"383","8",0.405808229370117,2015
"384","9",0.189845308508301,2015
"385","12",0,2015
"386","13",0.0727558308105468,2015
"387","14",0,2015
"388","16",0.912163870605468,2015
"389","20",0.00423382012939453,2015
"390","21",0,2015
"391","24",0.00422990808105469,2015
"392","26",0,2015
"393","27",0.076400282409668,2015
"394","33",0.000846126159667969,2015
"395","35",0.0186541284179687,2015
"396","37",0.184800114074707,2015
"397","38",0.00169555285644531,2015
"398","39",0.00337538940429687,2015
"399","40",0.062790116394043,2015
"400","51",0,2015
"401","52",0.0954877910766602,2015
"402","53",0.38094214831543,2015
"403","59",2.72375962702685,2015
"404","65",0,2015
"405","72",0,2015
"406","1",0,2016
"407","2",0.000847101501464844,2016
"408","4",0,2016
"409","6",0,2016
"410","8",0,2016
"411","9",0.00681286077880859,2016
"412","12",0,2016
"413","13",0,2016
"414","14",0,2016
"415","16",0,2016
"416","20",0.00170321899414062,2016
"417","21",0,2016
"418","24",0,2016
"419","26",0,2016
"420","27",0,2016
"421","33",0,2016
"422","35",0,2016
"423","37",0,2016
"424","38",0.0814132678833008,2016
"425","39",0.0843335369262696,2016
"426","40",0,2016
"427","51",0,2016
"428","52",0,2016
"429","53",0,2016
"430","59",0.00681287219238281,2016
"431","65",0,2016
"432","72",0,2016
