"","landCoverCode","year","sqKm","landCoverCategory","landCoverNameSp","landCoverName","sqKmNoFire"
"41","26",2001,4.60331402142224,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.60331402142224
"42","27",2001,27.5314029155423,"Grassland","Sabana de pajon","Sabana de pajon",27.8156766669999
"43","33",2001,5.63722136469006,"Wetland","Eneal","Cattail marsh",5.63722136469006
"44","35",2001,101.727170474925,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",101.741567644786
"45","37",2001,752.601526304416,"Cultivated","Cultivos intensivos","Cultivated land",752.654878965977
"46","38",2001,492.257143056546,"Cultivated","Caña","Sugar cane",492.258840833463
"47","39",2001,282.723088574398,"Cultivated","Arroz","Rice",282.723088574398
"48","40",2001,622.153329769812,"Cultivated","Pasto","Pasture",622.159268654577
"49","51",2001,32.6318890847022,"Cultivated","Palma Africana","African palm",32.6318890847022
"50","52",2001,231.933096178193,"Cultivated","Palma de Coco","Coco Palm",231.933096178193
"51","53",2001,2375.15527185368,"Cultivated","Café y Cacao","Coffee and Cacao",2375.19173890587
"52","59",2001,4067.64948155788,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",4068.09321576656
"53","65",2001,17.5344590660699,"Unvegetated","Lagunos o lagos","Lake",17.5344590660699
"54","72",2001,12.8538470097803,"Unvegetated","Areas pobladas","Populated areas",12.8538470097803
"55","1",2002,1651.24070965399,"Forest","Bosque conifero denso","Dense conifer forest",1653.72266014001
"56","2",2002,635.006682393725,"Forest","Bosque conifero abierto","Open conifer forest",636.136108446757
"57","4",2002,948.608235472628,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",949.354673266519
"58","6",2002,2551.35310774771,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2551.42010222861
"59","8",2002,1512.89590323349,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1512.93744527817
"60","9",2002,2151.59337706299,"Forest","Bosque seco","Dry forest",2152.06513518109
"61","12",2002,10.1932852889581,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",10.1932852889581
"62","13",2002,112.444591344604,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",112.444591344604
"63","14",2002,34.5526089644104,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.5526089644104
"64","16",2002,1722.53329973012,"Shrubland","Matorral latifoliado","Broadleaf matorral",1722.64143485551
"65","20",2002,976.992658855816,"Shrubland","Matorral seco","Dry matorral",977.06081210307
"66","21",2002,9.416397696047,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.416397696047
"67","24",2002,3.18567890856177,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.18567890856177
"68","26",2002,4.59019528172559,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.59019528172559
"69","27",2002,27.4957550517996,"Grassland","Sabana de pajon","Sabana de pajon",27.7800288032573
"70","33",2002,5.6203547554585,"Wetland","Eneal","Cattail marsh",5.6203547554585
"71","35",2002,101.237564275974,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",101.25707303867
"72","37",2002,747.368350168658,"Cultivated","Cultivos intensivos","Cultivated land",747.422554680987
"73","38",2002,489.411685279003,"Cultivated","Caña","Sugar cane",489.415068665172
"74","39",2002,280.730503852603,"Cultivated","Arroz","Rice",280.730503852603
"75","40",2002,618.289934422678,"Cultivated","Pasto","Pasture",618.295873307444
"76","51",2002,31.7553724846076,"Cultivated","Palma Africana","African palm",31.7553724846076
"77","52",2002,231.235159692154,"Cultivated","Palma de Coco","Coco Palm",231.235159692154
"78","53",2002,2367.84213788181,"Cultivated","Café y Cacao","Coffee and Cacao",2367.878604934
"79","59",2002,4046.77512061194,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",4047.3223802594
"80","65",2002,17.4886823448883,"Unvegetated","Lagunos o lagos","Lake",17.4886823448883
"81","72",2002,12.7373906730328,"Unvegetated","Areas pobladas","Populated areas",12.7373906730328
"82","1",2003,1647.27310359339,"Forest","Bosque conifero denso","Dense conifer forest",1649.90432983581
