"","landCoverCode","year","sqKm","landCoverCategory","landCoverNameSp","landCoverName","sqKmNoFire"
"277","12",2010,9.68310349852478,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.68310349852478
"278","13",2010,111.820879939087,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",111.831033752441
"279","14",2010,34.1981681853857,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.1981681853857
"280","16",2010,1608.61216804438,"Shrubland","Matorral latifoliado","Broadleaf matorral",1610.00393697242
"281","20",2010,926.034990652437,"Shrubland","Matorral seco","Dry matorral",926.243804451815
"282","21",2010,9.26412941997034,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.26582795439417
"283","24",2010,3.17834619220068,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.17834619220068
"284","26",2010,4.43351637934094,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.43351637934094
"285","27",2010,26.5004986760343,"Grassland","Sabana de pajon","Sabana de pajon",27.1164510868626
"286","33",2010,5.08859515885022,"Wetland","Eneal","Cattail marsh",5.08859515885022
"287","35",2010,96.7150564253686,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",96.746431172622
"288","37",2010,696.711658374135,"Cultivated","Cultivos intensivos","Cultivated land",696.859113503102
"289","38",2010,458.263708803402,"Cultivated","Caña","Sugar cane",458.863474818294
"290","39",2010,262.777586423318,"Cultivated","Arroz","Rice",262.80885468821
"291","40",2010,563.266508222824,"Cultivated","Pasto","Pasture",563.28942351091
"292","51",2010,21.6077040567554,"Cultivated","Palma Africana","African palm",21.6077040567554
"293","52",2010,219.689880383221,"Cultivated","Palma de Coco","Coco Palm",219.694957172406
"294","53",2010,2268.27550356191,"Cultivated","Café y Cacao","Coffee and Cacao",2268.54777739806
"295","59",2010,3807.46560946402,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3811.53656102356
"296","65",2010,17.0010298665297,"Unvegetated","Lagunos o lagos","Lake",17.0018783052504
"297","72",2010,12.0949561585727,"Unvegetated","Areas pobladas","Populated areas",12.0949561585727
"298","1",2011,1546.47072300784,"Forest","Bosque conifero denso","Dense conifer forest",1598.10691099939
"299","2",2011,597.306426891231,"Forest","Bosque conifero abierto","Open conifer forest",615.06962864969
"300","4",2011,919.791169024047,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",926.483168273699
"301","6",2011,2439.01110086236,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2443.15017847839
"302","8",2011,1401.83820788568,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1402.56630584619
"303","9",2011,2025.97107439087,"Forest","Bosque seco","Dry forest",2026.83363841211
"304","12",2011,9.66133408416321,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.66133408416321
"305","13",2011,111.721274990851,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",111.731428804206
"306","14",2011,34.1043681548608,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.1043681548608
"307","16",2011,1598.63004595802,"Shrubland","Matorral latifoliado","Broadleaf matorral",1600.10239822462
"308","20",2011,919.517635239943,"Shrubland","Matorral seco","Dry matorral",919.742532607436
"309","21",2011,9.26087853978418,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.26257707420801
"310","24",2011,3.17834619220068,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.17834619220068
"311","26",2011,4.41828343339307,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.41828343339307
"312","27",2011,26.4425400983747,"Grassland","Sabana de pajon","Sabana de pajon",27.0593401105825
"313","33",2011,5.06228198802991,"Wetland","Eneal","Cattail marsh",5.06228198802991
"314","35",2011,95.978499064427,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",96.013257489781
"315","37",2011,691.76324035259,"Cultivated","Cultivos intensivos","Cultivated land",691.917483963003
"316","38",2011,454.989232862674,"Cultivated","Caña","Sugar cane",455.717154186466
"317","39",2011,260.747505646874,"Cultivated","Arroz","Rice",260.786360261315
"318","40",2011,556.445818491944,"Cultivated","Pasto","Pasture",556.50608866974
"319","51",2011,21.3130774620594,"Cultivated","Palma Africana","African palm",21.3130774620594
"320","52",2011,218.188897046756,"Cultivated","Palma de Coco","Coco Palm",218.19397383594
"321","53",2011,2257.68053848288,"Cultivated","Café y Cacao","Coffee and Cacao",2257.96042853955
"322","59",2011,3783.01743826361,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3787.25119160214
"323","65",2011,16.9780899876515,"Unvegetated","Lagunos o lagos","Lake",16.9789384263722
"324","72",2011,12.0075405699534,"Unvegetated","Areas pobladas","Populated areas",12.0075405699534
"325","1",2012,1538.33964911073,"Forest","Bosque conifero denso","Dense conifer forest",1590.02409728513
"326","2",2012,594.524174721458,"Forest","Bosque conifero abierto","Open conifer forest",612.318711080199
"327","4",2012,914.3140604357,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",921.217735988025
"328","6",2012,2424.182972122,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2428.3330762841
"329","8",2012,1386.35185363911,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1387.09518478102
"330","9",2012,2005.62186399959,"Forest","Bosque seco","Dry forest",2006.53193959121
"331","12",2012,9.64675178617004,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.64675178617004
"332","13",2012,111.655391016131,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",111.665544829486
"333","14",2012,34.0694105652222,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.0694105652222
"334","16",2012,1587.89974664474,"Shrubland","Matorral latifoliado","Broadleaf matorral",1589.39919786031
"335","20",2012,910.193758324336,"Shrubland","Matorral seco","Dry matorral",910.420349164974
"336","21",2012,9.24867702960474,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.25037556402857
"337","24",2012,3.1767567206333,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.1767567206333
"338","26",2012,4.41327435722729,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.41327435722729
"339","27",2012,26.3562566358515,"Grassland","Sabana de pajon","Sabana de pajon",26.9730566480593
"340","33",2012,5.05823774810193,"Wetland","Eneal","Cattail marsh",5.05823774810193
"341","35",2012,95.1967408246853,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",95.2314992500393
"342","37",2012,684.830769777753,"Cultivated","Cultivos intensivos","Cultivated land",684.985861961774
"343","38",2012,449.271671433937,"Cultivated","Caña","Sugar cane",450.014022197914
"344","39",2012,259.314640298455,"Cultivated","Arroz","Rice",259.353494912896
"345","40",2012,550.813289480942,"Cultivated","Pasto","Pasture",550.874408702316
"346","51",2012,20.9555769886573,"Cultivated","Palma Africana","African palm",20.9555769886573
"347","52",2012,216.851893389601,"Cultivated","Palma de Coco","Coco Palm",216.856970178785
"348","53",2012,2243.83814018898,"Cultivated","Café y Cacao","Coffee and Cacao",2244.123961203
"349","59",2012,3749.05243381249,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3753.34544255825
"350","65",2012,16.9335686853761,"Unvegetated","Lagunos o lagos","Lake",16.9344171240969
"351","72",2012,11.9380706946964,"Unvegetated","Areas pobladas","Populated areas",11.9380706946964
"352","1",2013,1536.03799815963,"Forest","Bosque conifero denso","Dense conifer forest",1587.78878827477
"353","2",2013,583.981447437389,"Forest","Bosque conifero abierto","Open conifer forest",607.418984788744
"354","4",2013,912.465665786457,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",919.607512262854
"355","6",2013,2417.3416806233,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2421.72997451093
"356","8",2013,1379.76876017946,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1380.58694037697
"357","9",2013,1993.18729626689,"Forest","Bosque seco","Dry forest",1995.27715913365
"358","12",2013,9.63295959439392,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.63295959439392
"359","13",2013,111.615229950258,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",111.625383763613
"360","14",2013,34.0243028836481,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.0243028836481
"361","16",2013,1577.49052197504,"Shrubland","Matorral latifoliado","Broadleaf matorral",1578.991671469
"362","20",2013,901.192869618329,"Shrubland","Matorral seco","Dry matorral",903.157612346845
"363","21",2013,9.24357466116419,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.24527319558801
"364","24",2013,3.17140844020605,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.17140844020605
"365","26",2013,4.40400015540478,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.40400015540478
"366","27",2013,26.3337843478651,"Grassland","Sabana de pajon","Sabana de pajon",26.9641775049093
"367","33",2013,5.05341819060437,"Wetland","Eneal","Cattail marsh",5.05341819060437
"368","35",2013,94.3243559797437,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",94.6410226040112
"369","37",2013,679.061674246262,"Cultivated","Cultivos intensivos","Cultivated land",680.955397396409
"370","38",2013,443.979845730625,"Cultivated","Caña","Sugar cane",444.760373264865
"371","39",2013,258.778655721388,"Cultivated","Arroz","Rice",258.817510335829
"372","40",2013,545.374734914238,"Cultivated","Pasto","Pasture",545.44264566497
"373","51",2013,20.9330950348139,"Cultivated","Palma Africana","African palm",20.9330950348139
"374","52",2013,216.323515816195,"Cultivated","Palma de Coco","Coco Palm",216.32859260538
"375","53",2013,2238.29111529193,"Cultivated","Café y Cacao","Coffee and Cacao",2238.57948233933
"376","59",2013,3729.71020042115,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3734.44329621579
"377","65",2013,16.9134807655045,"Unvegetated","Lagunos o lagos","Lake",16.9143292042252
"378","72",2013,11.9277072619925,"Unvegetated","Areas pobladas","Populated areas",11.9277072619925
"379","1",2014,1527.30646435193,"Forest","Bosque conifero denso","Dense conifer forest",1586.58265014096
"380","2",2014,579.563486106634,"Forest","Bosque conifero abierto","Open conifer forest",604.708806829337
"381","4",2014,911.369485921052,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",918.651207242726
"382","6",2014,2408.48103332251,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2412.8786808297
"383","8",2014,1372.20959869084,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1373.03543608073
"384","9",2014,1983.1109821864,"Forest","Bosque seco","Dry forest",1985.20253805609
"385","12",2014,9.62449393422974,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.62449393422974
"386","13",2014,111.57026973967,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",111.580423553025
"387","14",2014,33.9219029350055,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",33.9219029350055
"388","16",2014,1564.57072487627,"Shrubland","Matorral latifoliado","Broadleaf matorral",1566.08629844298
"389","20",2014,895.067744137051,"Shrubland","Matorral seco","Dry matorral",897.032486865566
"390","21",2014,9.22880117752161,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.23049971194544
"391","24",2014,3.16808631908118,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.16808631908118
"392","26",2014,4.3964619425813,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.3964619425813
"393","27",2014,25.7869103006286,"Grassland","Sabana de pajon","Sabana de pajon",27.0832511949171
"394","33",2014,5.0509663466322,"Wetland","Eneal","Cattail marsh",5.0509663466322
"395","35",2014,93.6548090727369,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",93.9808022174512
"396","37",2014,670.936870934953,"Cultivated","Cultivos intensivos","Cultivated land",672.936562950456
"397","38",2014,438.725752353484,"Cultivated","Caña","Sugar cane",439.581749321196
"398","39",2014,257.915104545481,"Cultivated","Arroz","Rice",257.955650073008
"399","40",2014,539.656004673434,"Cultivated","Pasto","Pasture",539.736634164035
"400","51",2014,20.9089697943195,"Cultivated","Palma Africana","African palm",20.9089697943195
"401","52",2014,215.474891068891,"Cultivated","Palma de Coco","Coco Palm",215.479967858075
"402","53",2014,2229.67866429002,"Cultivated","Café y Cacao","Coffee and Cacao",2229.96787839241
"403","59",2014,3705.52783781421,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3710.29539428524
"404","65",2014,16.8670210288558,"Unvegetated","Lagunos o lagos","Lake",16.8695667286239
"405","72",2014,11.8883102713975,"Unvegetated","Areas pobladas","Populated areas",11.8883102713975
"406","1",2015,1519.97844975402,"Forest","Bosque conifero denso","Dense conifer forest",1581.94107105083
"407","2",2015,574.277096956867,"Forest","Bosque conifero abierto","Open conifer forest",602.233165030392
"408","4",2015,907.244640595827,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",916.214934157102
"409","6",2015,2391.77554813397,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2398.24572187306
"410","8",2015,1361.45326979908,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1362.68491541834
"411","9",2015,1969.82108197257,"Forest","Bosque seco","Dry forest",1972.10248315077
"412","12",2015,9.60957103545288,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.60957103545288
"413","13",2015,111.353358412453,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",111.436268056618
"414","14",2015,33.7039263677917,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",33.7039263677917
"415","16",2015,1550.58831559682,"Shrubland","Matorral latifoliado","Broadleaf matorral",1553.01605303413
"416","20",2015,890.487687877206,"Shrubland","Matorral seco","Dry matorral",892.456664425851
"417","21",2015,9.2112469720165,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.21294550644033
"418","24",2015,3.15109548809302,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.15532539617407
"419","26",2015,4.38647131070996,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.38647131070996
"420","27",2015,25.5806025720838,"Grassland","Sabana de pajon","Sabana de pajon",26.953343748782
"421","33",2015,5.04571798235791,"Wetland","Eneal","Cattail marsh",5.04656410851758
"422","35",2015,93.1878347368403,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",93.5324820099726
"423","37",2015,665.322861249225,"Cultivated","Cultivos intensivos","Cultivated land",667.507353378803
"424","38",2015,434.179833486561,"Cultivated","Caña","Sugar cane",435.03752600713
"425","39",2015,256.720793787424,"Cultivated","Arroz","Rice",256.764714704355
"426","40",2015,536.411905646552,"Cultivated","Pasto","Pasture",536.555325253546
"427","51",2015,20.8537463799366,"Cultivated","Palma Africana","African palm",20.8537463799366
"428","52",2015,214.041297526231,"Cultivated","Palma de Coco","Coco Palm",214.141862106493
"429","53",2015,2222.11923559239,"Cultivated","Café y Cacao","Coffee and Cacao",2222.78939184309
"430","59",2015,3677.92473616314,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3685.4160522612
"431","65",2015,16.8468435041189,"Unvegetated","Lagunos o lagos","Lake",16.849389203887
"432","72",2015,11.7887900924576,"Unvegetated","Areas pobladas","Populated areas",11.7887900924576
"433","1",2016,1502.43479404375,"Forest","Bosque conifero denso","Dense conifer forest",1564.39741534056
"434","2",2016,566.359402428507,"Forest","Bosque conifero abierto","Open conifer forest",594.316317603534
"435","4",2016,898.713760849124,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",907.684054410399
"436","6",2016,2359.91647102621,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2366.3866447653
"437","8",2016,1347.70364014062,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1348.93528575988
"438","9",2016,1958.46770562133,"Forest","Bosque seco","Dry forest",1960.75591966031
"439","12",2016,9.56593131697998,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.56593131697998
"440","13",2016,109.69824282731,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",109.781152471475
"441","14",2016,33.5060992630188,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",33.5060992630188
"442","16",2016,1527.74826596385,"Shrubland","Matorral latifoliado","Broadleaf matorral",1530.17600340116
"443","20",2016,886.32834575724,"Shrubland","Matorral seco","Dry matorral",888.29902552488
"444","21",2016,9.13505021300793,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.13674874743176
"445","24",2016,3.14712120504065,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.1513511131217
"446","26",2016,4.35839650803906,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.35839650803906
"447","27",2016,25.3623778146772,"Grassland","Sabana de pajon","Sabana de pajon",26.7351189913754
"448","33",2016,5.02924270185193,"Wetland","Eneal","Cattail marsh",5.0300888280116
"449","35",2016,92.5470889617372,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",92.8917362348694
"450","37",2016,659.72721893695,"Cultivated","Cultivos intensivos","Cultivated land",661.911711066527
"451","38",2016,427.091398400887,"Cultivated","Caña","Sugar cane",428.030504189339
"452","39",2016,255.172265897334,"Cultivated","Arroz","Rice",255.300520351191
"453","40",2016,527.564648471997,"Cultivated","Pasto","Pasture",527.708068078991
"454","51",2016,20.6911907380445,"Cultivated","Palma Africana","African palm",20.6911907380445
"455","52",2016,211.018969769137,"Cultivated","Palma de Coco","Coco Palm",211.119534349398
"456","53",2016,2202.84073925461,"Cultivated","Café y Cacao","Coffee and Cacao",2203.51089550531
"457","59",2016,3626.93395741859,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3634.43208638885
"458","65",2016,16.7789411955703,"Unvegetated","Lagunos o lagos","Lake",16.7814868953384
"459","72",2016,11.6836686914359,"Unvegetated","Areas pobladas","Populated areas",11.6836686914359
