"","landCoverCode","sqKm2000","sqKmLost","sqKmGained","netChange","area2016","percentChange","landCoverName","landCoverNameSp","landCoverCategory","sqKm2000inPA","sqKmLostInPA","sqKmGainedInPA","netChangeInPA","area2016InPA","percentChangeInPA","percentLCInPA","landCoverCategorySp","sqKmBurned","percentLossToBurn"
"1","1",1660.076051,157.641256956253,0.562543397094875,-157.078713559158,1502.99733744084,-10.4510307268153,"Dense conifer forest","Bosque conifero denso","Forest",1354.18999950791,126.184464777425,0.374556198818302,-125.809908578607,1228.3800909293,-10.2419364745181,81.573973595497,"Bosque",76.0950529031628,48.2710264891379
"2","2",638.6725546,72.3131521714924,0.304287261935939,-72.0088649095565,566.663689690443,-12.7075135075081,"Open conifer forest","Bosque conifero abierto","Forest",363.105485977548,49.3500131824129,0.144075908666382,-49.2059372737465,313.899548703801,-15.6756954500045,56.8531532100922,"Bosque",40.5343004063299,56.0538424741903
"3","4",951.7577458,53.0439849508759,0.202010127524809,-52.8419748233511,898.915770976649,-5.87841225278978,"Wet broadleaf forest","Bosque latifoliado nublado","Forest",743.63204182572,39.2493242103686,0.164652642915798,-39.0846715674528,704.547370258267,-5.54748668682497,78.1324917088707,"Bosque",16.4721392576748,31.0537363905252
"4","6",2566.573204,206.656732973787,2.31237284327593,-204.344360130511,2362.22884386949,-8.65048958574992,"Moist broadleaf forest","Bosque latifoliado humedo","Forest",1122.4165712244,73.1085314772608,0.545993960182493,-72.5625375170783,1049.85403370732,-6.91167868935458,43.7321082241144,"Bosque",13.9666413311298,6.75837710688159
"5","8",1526.990829,179.287188859379,2.35848026227794,-176.928708597101,1350.0621204029,-13.1052272279368,"Semi-moist broadleaf forest","Bosque latifoliado semi-humedo","Forest",610.388237150457,43.2671209628323,0.541991082266944,-42.7251298805654,567.663107269892,-7.5264940302439,39.9732745972148,"Bosque",5.68222319878862,3.1693414543107
"6","9",2173.116735,214.649029378669,4.4598050105194,-210.18922436815,1962.92751063185,-10.7079463316754,"Dry forest","Bosque seco","Forest",1066.76810748558,43.5630900566921,0.350975595767418,-43.2121144609247,1023.55599302466,-4.22176361189883,49.0893144534907,"Bosque",7.36900989363749,3.4330506478264
"7","12",10.29002945,0.724098133020019,0.0124874990228271,-0.711610633997192,9.57841881600281,-7.42931216171394,"Temporarily flooded forested brackish wetlands","Bosque humedales salobres temporalmente inundado","Wetland",5.60049613978044,0.211390371394866,0,-0.211390371394866,5.38910576838557,-3.92255005709774,54.4264345111319,"Humedales",0.0237630200195313,3.2817402691569
"8","13",112.5455193,2.84727647269012,0.00930967633605957,-2.83796679635406,109.707552503646,-2.58684724213472,"Permanently flooded forested brackish wetlands","Bosque humedales salobres permanentemente inundado","Wetland",91.8645195501869,2.30791836545862,0.00655620719360351,-2.30136215826502,89.5631573919219,-2.56954112079193,81.6243242037152,"Humedales",0.11471495764591,4.02893637994791
"9","14",34.62273101,1.1166317469812,0.0065428374810791,-1.11008890950012,33.5126421004999,-3.31244819841752,"Forested freshwater wetlands","Bosque humedales de agua dulce","Wetland",20.5188595776011,0.670365652541135,0.00218979513000488,-0.66817585741113,19.85068372019,-3.36600928627731,59.2641278692738,"Humedales",0,0
"10","16",1738.403775,210.655509036152,5.17264155742827,-205.482867478724,1532.92090752128,-13.4046620716387,"Broadleaf matorral","Matorral latifoliado","Shrubland",456.516640601653,38.0900350216147,0.620403969453941,-37.4696310521607,419.047009549492,-8.94162950654236,26.2606793178215,"Matorrales",6.88535077587843,3.26853582295671
"11","20",984.9902009,98.6618551427596,1.27750789488726,-97.3843472478724,887.605853652128,-10.9715755982429,"Dry matorral","Matorral seco","Shrubland",411.25766714117,19.4303418401285,0.116018222633638,-19.3143236174948,391.943343523675,-4.92783560089423,41.7524627925636,"Matorrales",3.36286094355876,3.40847122597973
"12","21",9.450949901,0.315899687992068,0.00127373560119629,-0.314625952390872,9.13632394860913,-3.44368209972206,"Brackish wetland matorral","Matorral de humedales salobres","Shrubland",6.44475747347975,0.156927936725938,0.000662338867797852,-0.15626559785814,6.28849187562161,-2.48494553143863,68.1916372532864,"Matorrales",0.00679418334960937,2.15074075976294
"13","24",3.186702839,0.0395816339593506,0.00190864856384277,-0.0376729853955078,3.14902985360449,-1.19633624153757,"Grassy brackish wetlands","Sabana de humedales salobres","Wetland",2.7908364834421,0.0200414776065363,0.00139419584533691,-0.0186472817611994,2.7721892016809,-0.672655450424986,87.5775566295938,"Humedales",0.00422990808105469,10.6865423630533
"14","26",4.606512648,0.248116139960938,0.00477725739562988,-0.243338882565308,4.36317376543469,-5.57710729957748,"Grassy freshwater marsh","Sabana humedales de agua aulce","Wetland",1.22921764229121,0.0292394490073888,0.000448012357788086,-0.0287914366496008,1.20042620564161,-2.39843453219284,26.6843431511014,"Humedales",0.00338840545654297,1.365652978914
"15","27",27.81166025,2.44928243532278,0.0193361484411621,-2.42994628688162,25.3817139631184,-9.57360992410727,"Sabana de pajon","Sabana de pajon","Grassland",21.3408928476226,1.85686957795165,0.0191071398046875,-1.83776243814697,19.5031304094756,-9.42291006398688,76.7336169642106,"Pastos",1.80468486009091,73.6821868341645
"16","33",5.642131393,0.612888691148072,0.00249580865966797,-0.610392882488404,5.0317385105116,-12.1308545985301,"Cattail marsh","Eneal","Wetland",2.12184005504613,0.0251622131580739,0,-0.0251622131580739,2.09667784188806,-1.20009915950727,37.607065614931,"Humedales",0.00338590319824219,0.552449938650306
