"","landCoverCode","sqKmLost","year","landCoverName","landCoverNameSp","landCoverCategory","sqKmBurned","sqKmLossNonFire"
"56","2",1.92030145103933,2003,"Open conifer forest","Bosque conifero abierto","Forest",0.564324638298723,1.35597681274061
"57","4",1.85975146422869,2003,"Wet broadleaf forest","Bosque latifoliado nublado","Forest",0.178788777996467,1.68096268623222
"58","6",7.96549789273971,2003,"Moist broadleaf forest","Bosque latifoliado humedo","Forest",0.152298702270508,7.8131991904692
"59","8",5.96717085057873,2003,"Semi-moist broadleaf forest","Bosque latifoliado semi-humedo","Forest",0.0406678218383789,5.92650302874035
"60","9",6.5639193316839,2003,"Dry forest","Bosque seco","Forest",0.00169494079589844,6.562224390888
"61","12",0.147755986170044,2003,"Temporarily flooded forested brackish wetlands","Bosque humedales salobres temporalmente inundado","Wetland",0,0.147755986170044
"62","13",0.0255664066821289,2003,"Permanently flooded forested brackish wetlands","Bosque humedales salobres permanentemente inundado","Wetland",0,0.0255664066821289
"63","14",0.0351802737030029,2003,"Forested freshwater wetlands","Bosque humedales de agua dulce","Wetland",0,0.0351802737030029
"64","16",11.2624006299219,2003,"Broadleaf matorral","Matorral latifoliado","Shrubland",0.305494765991211,10.9569058639307
"65","20",3.15161301117184,2003,"Dry matorral","Matorral seco","Shrubland",0.0008474716796875,3.15076553949215
"66","21",0.0153832343908691,2003,"Brackish wetland matorral","Matorral de humedales salobres","Shrubland",0,0.0153832343908691
"67","24",0,2003,"Grassy brackish wetlands","Sabana de humedales salobres","Wetland",0,0
"68","26",0.0173639184490967,2003,"Grassy freshwater marsh","Sabana humedales de agua aulce","Wetland",0,0.0173639184490967
"69","27",0.037788581696167,2003,"Sabana de pajon","Sabana de pajon","Grassland",0.00509851452636719,0.0326900671697998
"70","33",0.00746388754272461,2003,"Cattail marsh","Eneal","Wetland",0,0.00746388754272461
"71","35",0.506850585144247,2003,"Unvegetated or eroded areas","Escasa vegetación o area erosionada","Unvegetated",0.000849265930175781,0.506001319214071
"72","37",3.64105406322412,2003,"Cultivated land","Cultivos intensivos","Cultivated",0.00931716998291016,3.63173689324121
"73","38",4.8812055823579,2003,"Sugar cane","Caña","Cultivated",0.117092986450195,4.7641125959077
"74","39",1.74521733486717,2003,"Rice","Arroz","Cultivated",0,1.74521733486717
"75","40",5.9531198250194,2003,"Pasture","Pasto","Cultivated",0.00594223229980469,5.9471775927196
"76","51",0.327544539195557,2003,"African palm","Palma Africana","Cultivated",0,0.327544539195557
"77","52",1.14520971408813,2003,"Coco Palm","Palma de Coco","Cultivated",0,1.14520971408813
"78","53",9.5800783874602,2003,"Coffee and Cacao","Café y Cacao","Cultivated",0.0304706872558594,9.54960770020434
"79","59",21.5632496338419,2003,"Subsistence agriculture or pasture","Agricultura de Subsistencia y Pasto","Cultivated",0.451244842285156,21.1120047915567
"80","65",0.10586049656351,2003,"Lake","Lagunos o lagos","Unvegetated",0,0.10586049656351
"81","72",0.105625964367676,2003,"Populated areas","Areas pobladas","Unvegetated",0,0.105625964367676
"82","1",11.8032497058429,2004,"Dense conifer forest","Bosque conifero denso","Forest",0.33096472489277,11.4722849809501
"83","2",4.10644199720573,2004,"Open conifer forest","Bosque conifero abierto","Forest",0.438104793076219,3.66833720412951
"84","4",3.63988562003186,2004,"Wet broadleaf forest","Bosque latifoliado nublado","Forest",0.177106779644656,3.4627788403872
"85","6",15.5520453495861,2004,"Moist broadleaf forest","Bosque latifoliado humedo","Forest",0.00339430426025391,15.5486510453258
"86","8",13.628965522574,2004,"Semi-moist broadleaf forest","Bosque latifoliado semi-humedo","Forest",0.0177731258544922,13.6111923967195
"87","9",17.9634083337695,2004,"Dry forest","Bosque seco","Forest",0.0076535859375,17.955754747832
"88","12",0.0398253107189941,2004,"Temporarily flooded forested brackish wetlands","Bosque humedales salobres temporalmente inundado","Wetland",0,0.0398253107189941
"89","13",0.162992197104492,2004,"Permanently flooded forested brackish wetlands","Bosque humedales salobres permanentemente inundado","Wetland",0,0.162992197104492
"90","14",0.0766870866766357,2004,"Forested freshwater wetlands","Bosque humedales de agua dulce","Wetland",0,0.0766870866766357
"91","16",14.7941952330302,2004,"Broadleaf matorral","Matorral latifoliado","Shrubland",0.00339484387207031,14.7908003891581
"92","20",7.68623506229121,2004,"Dry matorral","Matorral seco","Shrubland",0.0008503916015625,7.68538467068965
"93","21",0.0368447513763428,2004,"Brackish wetland matorral","Matorral de humedales salobres","Shrubland",0,0.0368447513763428
"94","24",0.000603322803344726,2004,"Grassy brackish wetlands","Sabana de humedales salobres","Wetland",0,0.000603322803344726
"95","26",0.0288502529272461,2004,"Grassy freshwater marsh","Sabana humedales de agua aulce","Wetland",0,0.0288502529272461
"96","27",0.174476452150879,2004,"Sabana de pajon","Sabana de pajon","Grassland",0.0101566268920898,0.164319825258789
"97","33",0.0206715490472412,2004,"Cattail marsh","Eneal","Wetland",0,0.0206715490472412
"98","35",0.567377659200748,2004,"Unvegetated or eroded areas","Escasa vegetación o area erosionada","Unvegetated",0,0.567377659200748
"99","37",8.55641777513657,2004,"Cultivated land","Cultivos intensivos","Cultivated",0,8.55641777513657
"100","38",3.94359128178099,2004,"Sugar cane","Caña","Cultivated",0.0313682305908203,3.91222305119017
"101","39",4.86518971165289,2004,"Rice","Arroz","Cultivated",0,4.86518971165289
"102","40",5.85672634298809,2004,"Pasture","Pasto","Cultivated",0,5.85672634298809
"103","51",0.967151127696533,2004,"African palm","Palma Africana","Cultivated",0,0.967151127696533
"104","52",2.15705685275452,2004,"Coco Palm","Palma de Coco","Cultivated",0,2.15705685275452
"105","53",14.6390293519616,2004,"Coffee and Cacao","Café y Cacao","Cultivated",0,14.6390293519616
"106","59",37.6779850857739,2004,"Subsistence agriculture or pasture","Agricultura de Subsistencia y Pasto","Cultivated",0.330985096435547,37.3469999893384
"107","65",0.0516057408846507,2004,"Lake","Lagunos o lagos","Unvegetated",0,0.0516057408846507
"108","72",0.12898468074707,2004,"Populated areas","Areas pobladas","Unvegetated",0,0.12898468074707
"109","1",56.0889247237851,2005,"Dense conifer forest","Bosque conifero denso","Forest",47.4600045861676,8.62892013761746
"110","2",15.58759157341,2005,"Open conifer forest","Bosque conifero abierto","Forest",13.9095926252476,1.67799894816244
"111","4",8.5443670721027,2005,"Wet broadleaf forest","Bosque latifoliado nublado","Forest",4.74569709820557,3.79866997389713
"112","6",18.530456973946,2005,"Moist broadleaf forest","Bosque latifoliado humedo","Forest",3.53384751329919,14.9966094606468
"113","8",13.685807701622,2005,"Semi-moist broadleaf forest","Bosque latifoliado semi-humedo","Forest",0.106752446289062,13.5790552553329
"114","9",12.3858926789764,2005,"Dry forest","Bosque seco","Forest",0.0101617841796875,12.3757308947967
"115","12",0.0785249934796143,2005,"Temporarily flooded forested brackish wetlands","Bosque humedales salobres temporalmente inundado","Wetland",0,0.0785249934796143
"116","13",0.141963082827572,2005,"Permanently flooded forested brackish wetlands","Bosque humedales salobres permanentemente inundado","Wetland",0.0101538133544922,0.13180926947308
"117","14",0.0317788757537842,2005,"Forested freshwater wetlands","Bosque humedales de agua dulce","Wetland",0,0.0317788757537842
"118","16",19.3971220687129,2005,"Broadleaf matorral","Matorral latifoliado","Shrubland",0.710650231811523,18.6864718369014
"119","20",5.37685167250813,2005,"Dry matorral","Matorral seco","Shrubland",0.00675393481445313,5.37009773769368
"120","21",0.0189512942022705,2005,"Brackish wetland matorral","Matorral de humedales salobres","Shrubland",0,0.0189512942022705
"121","24",0.00246606902709961,2005,"Grassy brackish wetlands","Sabana de humedales salobres","Wetland",0,0.00246606902709961
"122","26",0.017024001463623,2005,"Grassy freshwater marsh","Sabana humedales de agua aulce","Wetland",0,0.017024001463623
"123","27",0.357099384313082,2005,"Sabana de pajon","Sabana de pajon","Grassland",0.261369523994715,0.0957298603183669
"124","33",0.0622234426409912,2005,"Cattail marsh","Eneal","Wetland",0,0.0622234426409912
"125","35",0.527189724986546,2005,"Unvegetated or eroded areas","Escasa vegetación o area erosionada","Unvegetated",0.00253137884521484,0.524658346141331
"126","37",5.42112893405423,2005,"Cultivated land","Cultivos intensivos","Cultivated",0.0135546640014648,5.40757427005277
"127","38",4.46108796252908,2005,"Sugar cane","Caña","Cultivated",0.144177494873047,4.31691046765603
"128","39",1.57187996664917,2005,"Rice","Arroz","Cultivated",0,1.57187996664917
"129","40",8.7213559659542,2005,"Pasture","Pasto","Cultivated",0.00339470788574219,8.71796125806846
"130","51",0.424750325262451,2005,"African palm","Palma Africana","Cultivated",0,0.424750325262451
"131","52",1.67250447243099,2005,"Coco Palm","Palma de Coco","Cultivated",0.00507678918457031,1.66742768324642
"132","53",13.8991300824331,2005,"Coffee and Cacao","Café y Cacao","Cultivated",0.165537492160453,13.7335925902726
"133","59",36.1558589987162,2005,"Subsistence agriculture or pasture","Agricultura de Subsistencia y Pasto","Cultivated",1.59675926448999,34.5590997342262
"134","65",0.0516078036422574,2005,"Lake","Lagunos o lagos","Unvegetated",0,0.0516078036422574
"135","72",0.0443377254956055,2005,"Populated areas","Areas pobladas","Unvegetated",0,0.0443377254956055
"136","1",3.7252146508363,2006,"Dense conifer forest","Bosque conifero denso","Forest",0.0398013461914063,3.68541330464489
"137","2",2.57765508598969,2006,"Open conifer forest","Bosque conifero abierto","Forest",0.0254060156860352,2.55224907030366
"138","4",1.60957198126707,2006,"Wet broadleaf forest","Bosque latifoliado nublado","Forest",0.000847080261230469,1.60872490100584
"139","6",9.52448830659691,2006,"Moist broadleaf forest","Bosque latifoliado humedo","Forest",0.00338802355957031,9.52110028303734
"140","8",11.498620856724,2006,"Semi-moist broadleaf forest","Bosque latifoliado semi-humedo","Forest",0.00338267163085938,11.4952381850931
"141","9",14.134110079381,2006,"Dry forest","Bosque seco","Forest",0.0194857867431641,14.1146242926378
"142","12",0.0511899217327881,2006,"Temporarily flooded forested brackish wetlands","Bosque humedales salobres temporalmente inundado","Wetland",0,0.0511899217327881
"143","13",0.0502998890200866,2006,"Permanently flooded forested brackish wetlands","Bosque humedales salobres permanentemente inundado","Wetland",0,0.0502998890200866
"144","14",0.0276985665026855,2006,"Forested freshwater wetlands","Bosque humedales de agua dulce","Wetland",0,0.0276985665026855
"145","16",10.50604040265,2006,"Broadleaf matorral","Matorral latifoliado","Shrubland",0.00084780615234375,10.5051925964977
"146","20",7.55405623567916,2006,"Dry matorral","Matorral seco","Shrubland",0.0484153395996094,7.50564089607955
"147","21",0.0130396234588623,2006,"Brackish wetland matorral","Matorral de humedales salobres","Shrubland",0,0.0130396234588623
"148","24",0.00107068803771973,2006,"Grassy brackish wetlands","Sabana de humedales salobres","Wetland",0,0.00107068803771973
"149","26",0.0225332814685059,2006,"Grassy freshwater marsh","Sabana humedales de agua aulce","Wetland",0,0.0225332814685059
"150","27",0.0579985340454102,2006,"Sabana de pajon","Sabana de pajon","Grassland",0.00846706823730469,0.0495314658081055
"151","33",0.0492942378045654,2006,"Cattail marsh","Eneal","Wetland",0,0.0492942378045654
"152","35",0.543111068401058,2006,"Unvegetated or eroded areas","Escasa vegetación o area erosionada","Unvegetated",0.00169928759765625,0.541411780803402
"153","37",5.15865137852947,2006,"Cultivated land","Cultivos intensivos","Cultivated",0,5.15865137852947
"154","38",2.37090562182797,2006,"Sugar cane","Caña","Cultivated",0.0195183635253906,2.35138725830258
"155","39",1.81115255475773,2006,"Rice","Arroz","Cultivated",0.00676295843505859,1.80438959632267
"156","40",5.5865929355807,2006,"Pasture","Pasto","Cultivated",0,5.5865929355807
"157","51",0.299624989662475,2006,"African palm","Palma Africana","Cultivated",0,0.299624989662475
"158","52",1.06576866761169,2006,"Coco Palm","Palma de Coco","Cultivated",0,1.06576866761169
"159","53",9.3367729733485,2006,"Coffee and Cacao","Café y Cacao","Cultivated",0.00169413922119141,9.33507883412731
"160","59",26.3339406943095,2006,"Subsistence agriculture or pasture","Agricultura de Subsistencia y Pasto","Cultivated",0.0889021689453125,26.2450385253642
"161","65",0.025833974475708,2006,"Lake","Lagunos o lagos","Unvegetated",0.000848438720703125,0.0249855357550049
"162","72",0.0578978014870677,2006,"Populated areas","Areas pobladas","Unvegetated",0,0.0578978014870677
"163","1",6.91031878005619,2007,"Dense conifer forest","Bosque conifero denso","Forest",0.65542407611084,6.25489470394535
"164","2",3.31867055279236,2007,"Open conifer forest","Bosque conifero abierto","Forest",0.926564503967285,2.39210604882507
"165","4",2.74960156098355,2007,"Wet broadleaf forest","Bosque latifoliado nublado","Forest",0.132948852661133,2.61665270832242
"166","6",11.4646426457167,2007,"Moist broadleaf forest","Bosque latifoliado humedo","Forest",0.0610243767700195,11.4036182689467
"167","8",13.9644894320507,2007,"Semi-moist broadleaf forest","Bosque latifoliado semi-humedo","Forest",0.0449400164184571,13.9195494156322
"168","9",14.9390006782988,2007,"Dry forest","Bosque seco","Forest",0.0691460825195312,14.8698545957793
"169","12",0.0618610451818848,2007,"Temporarily flooded forested brackish wetlands","Bosque humedales salobres temporalmente inundado","Wetland",0,0.0618610451818848
"170","13",0.06296090644104,2007,"Permanently flooded forested brackish wetlands","Bosque humedales salobres permanentemente inundado","Wetland",0,0.06296090644104
"171","14",0.0411060047076416,2007,"Forested freshwater wetlands","Bosque humedales de agua dulce","Wetland",0,0.0411060047076416
"172","16",13.8198293984363,2007,"Broadleaf matorral","Matorral latifoliado","Shrubland",0.0879038137580423,13.7319255846783
"173","20",6.0433733505772,2007,"Dry matorral","Matorral seco","Shrubland",0.0261312112426758,6.01724213933452
